TradeID	PortfolioID	ProductClass	RiskType	Qualifier	Bucket	Label1	Label2	AmountCurrency	Amount
1270100927A	9534	RatesFX	Risk_FX	BRL				USD	-83364.68181
1270100927A	9534	RatesFX	Risk_FX	USD				USD	60597.22811
1270100927A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	1616.182628
1270100927A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	333.0995491
1270100927A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-15.70577986
1270100927A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	141.416114
1270100927A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	70.58277036
1270100927A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-189.681557
1270100927A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-4974.490918
1270100927A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	-1030.065415
1270100927A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	42.4900504
1270102704A	9534	RatesFX	Risk_FX	BRL				USD	-35055.53458
1270102704A	9534	RatesFX	Risk_FX	USD				USD	50938.63918
1270102704A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	394.9400478
1270102704A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	170.5778313
1270102704A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-15.90416405
1270102704A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	52.52420185
1270102704A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	39.1337057
1270102704A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-102.1200411
1270102704A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-1686.386412
1270102704A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	-85.27385963
1270102704A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	37.2507716
1273892265A	9534	RatesFX	Risk_FX	BRL				USD	16187.95457
1273892265A	9534	RatesFX	Risk_FX	JPY				USD	-28235.09908
1273892265A	9534	RatesFX	Risk_FX	USD				USD	9931.402801
1273892265A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	-436.8055499
1273892265A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	-136.9092159
1273892265A	9534	RatesFX	Risk_IRCurve	JPY	2	10y	Libor6m	USD	5.04554465
1273892265A	9534	RatesFX	Risk_IRCurve	JPY	2	1y	Libor6m	USD	-47.60626662
1273892265A	9534	RatesFX	Risk_IRCurve	JPY	2	2y	Libor6m	USD	-74.65690618
1273892265A	9534	RatesFX	Risk_IRCurve	JPY	2	3m	Libor6m	USD	-57.7860522
1273892265A	9534	RatesFX	Risk_IRCurve	JPY	2	3y	Libor6m	USD	230.6625728
1273892265A	9534	RatesFX	Risk_IRCurve	JPY	2	5y	Libor6m	USD	183.7019861
1273892265A	9534	RatesFX	Risk_IRCurve	JPY	2	6m	Libor6m	USD	130.5655741
1273892265A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	0.001564207
1273892265A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	1.058001131
1273892265A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	0.565912065
1273892265A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	26.41963143
1273892265A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-1.071088239
1273892265A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	-0.131228215
1273892265A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	0.262295602
1276726264A	9534	RatesFX	Risk_FX	BRL				USD	-13535.86523
1276726264A	9534	RatesFX	Risk_FX	USD				USD	24561.43438
1276726264A	9534	RatesFX	Risk_IRCurve	BRL	1	1y	Libor1m	USD	176.9353009
1276726264A	9534	RatesFX	Risk_IRCurve	BRL	1	2y	Libor1m	USD	38.54718685
1276726264A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-102.1602541
1276726264A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	-6.955316118
1276726264A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-152.7356606
1276726264A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-0.701758428
1276726264A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	0.323046199
1276726264A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	-225.8174389
1279450909A	9534	RatesFX	Risk_FX	BRL				USD	-131420.4405
1279450909A	9534	RatesFX	Risk_FX	USD				USD	132227.756
1279450909A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	347.365941
1279450909A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	161.1737142
1279450909A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-24.97567396
