#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
portfolio_45_trade_4,011080C,416.07,146.03,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,72666.33,73136.43
,011535C,85989.86,4940.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85989.86,4940.06,None,12706570.57,14246052.13
portfolio_69_trade_17,011535C,76210.22,3094.23,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,12204510.51,13737227.43
portfolio_69_trade_18,011535C,9167.47,1310.65,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,495451.50,516241.21
,011665C,725.00,11489.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,725.00,11489.19,None,4197.94,4197.94
portfolio_43_trade_18,011665C,638.63,11430.72,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1900.77,1900.77
,012280O,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,None,0.00,0.00
portfolio_44_trade_1,012280O,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
,012334C,12168.49,34646.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12168.49,34646.22,None,246399.02,246399.02
portfolio_4_trade_5,012334C,11257.91,33901.47,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,163880.81,163880.81
,012803O,285969.07,159637.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285969.07,159637.99,None,7974636.91,7974636.91
portfolio_70_trade_11,012803O,270285.80,151991.27,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,6644365.29,6644365.29
portfolio_70_trade_12,012803O,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
,013061C,23.03,953.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.03,953.87,None,307.66,307.66
portfolio_4_trade_4,013061C,19.10,951.39,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,122.90,122.90
,013063C,0.00,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,None,0.00,0.00
portfolio_36_trade_13,013063C,0.00,1.64,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
,013064C,107.34,3874.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.34,3874.90,None,1411.98,1411.98
portfolio_36_trade_12,013064C,89.72,3862.40,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,583.30,583.30
,013065C,0.02,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,3.85,None,38.67,38.67
portfolio_36_trade_18,013065C,0.01,3.83,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,10.52,10.52
,013066C,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,None,0.00,0.00
portfolio_36_trade_6,013066C,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
,013068C,0.00,18.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.65,None,0.00,0.00
portfolio_70_trade_13,013068C,0.00,10.39,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
portfolio_70_trade_14,013068C,0.00,8.26,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
,013201O,0.00,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.08,None,0.16,0.16
portfolio_36_trade_10,013201O,0.00,3.08,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
,013445O,0.02,243.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,243.64,None,60.51,60.51
portfolio_36_trade_9,013445O,0.00,243.54,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
,013687C,6624.55,109893.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6624.55,109893.86,None,61701.29,61701.29
portfolio_69_trade_19,013687C,6157.11,73554.50,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,49380.32,49380.32
portfolio_69_trade_20,013687C,386.89,36456.11,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,263.13,263.13
,013688C,3031.29,35565.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3031.29,35565.51,None,40477.34,40477.34
portfolio_70_trade_1,013688C,2646.74,33760.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,21687.88,21687.88
portfolio_70_trade_2,013688C,37.18,1515.65,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,94.67,94.67
,013689C,7.48,280.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.48,280.79,None,2699.99,2699.99
portfolio_36_trade_8,013689C,4.87,278.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1421.67,1421.67
,013692O,0.10,41.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,41.27,None,66.67,97.17
portfolio_36_trade_15,013692O,0.03,41.22,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,20.36,24.08
,013696O,120.49,336.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.74,120.49,336.74,None,100126.22,100481.07
portfolio_38_trade_12,013696O,8.41,4508.72,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1096.03,1096.03
,013736C,2.49,678.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49,678.67,None,2758.80,2758.80
portfolio_62_trade_19,013736C,1.08,676.94,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1137.44,1137.44
,013777C,1.22,361.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,361.31,None,1352.90,1352.90
portfolio_36_trade_16,013777C,0.53,360.45,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,553.25,553.25
,013810O,3.10,1098.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,1098.10,None,2375.44,4251.28
portfolio_74_trade_5,013810O,1.19,1095.89,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1154.05,1154.05
portfolio_74_trade_6,013810O,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
,013875C,0.51,101.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,101.40,None,307.36,307.36
portfolio_37_trade_2,013875C,0.13,101.22,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,78.76,78.76
,013996C,0.02,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,5.30,None,3.92,4.01
portfolio_37_trade_3,013996C,0.01,5.30,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1.43,1.43
,013998C,57.51,9422.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.51,9422.99,None,11361.23,12057.19
portfolio_38_trade_5,013998C,22.04,9412.81,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3980.64,3980.64
,013999C,3.09,1367.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.09,1367.44,None,1941.79,2364.93
portfolio_36_trade_7,013999C,1.29,1365.97,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,755.87,1042.66
,014122C,2.88,185.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.88,185.55,None,752.98,752.98
portfolio_68_trade_4,014122C,1.89,184.55,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,373.84,373.84
,014251C,173.79,12294.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.79,12294.24,None,928.12,928.12
portfolio_68_trade_14,014251C,143.23,12279.48,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,317.80,317.80
,014276C,1.06,334.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,334.96,None,649.15,649.15
portfolio_68_trade_11,014276C,0.52,334.38,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,282.05,282.05
,014306C,0.16,28.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,28.31,None,37.39,37.39
portfolio_68_trade_6,014306C,0.10,28.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,15.93,15.93
,014317C,0.00,7.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.84,None,0.00,0.00
portfolio_73_trade_15,014317C,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.07,0.07
portfolio_73_trade_16,014317C,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
,014318C,0.07,28.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,28.36,None,139.40,139.40
portfolio_68_trade_3,014318C,0.02,28.32,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,35.12,35.12
,014342C,0.19,105.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,105.83,None,145.50,145.50
portfolio_68_trade_19,014342C,0.08,105.73,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,59.32,62.32
,014438C,17.64,1222.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.64,1222.23,None,3307.95,3307.95
portfolio_69_trade_5,014438C,11.98,1216.75,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1600.54,1600.54
,014521O,0.15,103.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,103.64,None,61.81,61.81
portfolio_68_trade_8,014521O,0.06,103.64,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,22.50,23.90
,014565C,6.46,2655.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,2655.37,None,2511.59,2511.59
portfolio_69_trade_2,014565C,3.27,2652.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1009.49,1009.49
,014566C,11.41,5357.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.41,5357.90,None,4144.36,4144.36
portfolio_68_trade_17,014566C,4.42,5359.52,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1526.96,1585.54
,014588C,7.04,924.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.04,924.82,None,1047.24,1047.24
portfolio_73_trade_7,014588C,4.34,846.12,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,421.22,421.22
portfolio_73_trade_8,014588C,0.28,76.44,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,23.92,23.92
,014798C,1.70,607.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,607.67,None,630.79,630.79
portfolio_69_trade_1,014798C,0.93,607.02,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,258.35,258.35
,015237O,9.06,86.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.06,86.90,None,2588.60,2650.23
portfolio_68_trade_16,015237O,5.82,85.23,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1515.08,1515.08
,015285C,58.55,4736.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.55,4736.61,None,9381.79,9381.79
portfolio_68_trade_12,015285C,34.68,4726.47,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,4189.96,4189.96
,015286O,2.56,208.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,208.53,None,484.77,484.77
portfolio_69_trade_3,015286O,1.51,207.94,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,221.71,221.71
,015530O,12.55,168.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.55,168.92,None,2515.08,2515.08
portfolio_73_trade_13,015530O,3.24,71.87,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,514.48,514.48
portfolio_73_trade_14,015530O,5.25,94.80,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,891.89,891.89
,015569C,25.36,836.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.36,836.81,None,6789.44,6789.44
portfolio_68_trade_7,015569C,17.38,828.86,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3573.55,3573.55
,015570C,7.29,1660.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.29,1660.23,None,1446.14,1446.14
portfolio_34_trade_10,015570C,9.32,445.38,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1879.12,1879.12
portfolio_34_trade_8,015570C,0.36,885.14,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,26.17,26.17
portfolio_34_trade_9,015570C,0.50,333.35,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,58.95,58.95
,015894C,106.78,706.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.78,706.12,None,10389.22,10389.22
portfolio_68_trade_18,015894C,86.49,691.74,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,6203.05,6203.05
,015895C,1437.21,3918.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1437.21,3918.08,None,64083.22,64083.22
portfolio_68_trade_2,015895C,1103.92,3845.01,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,37533.77,37533.77
,016345O,36.64,2061.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.64,2061.28,None,11248.79,11649.52
portfolio_33_trade_13,016345O,2.48,179.18,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,681.85,681.85
portfolio_33_trade_14,016345O,19.39,1400.89,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,5330.85,5330.85
portfolio_33_trade_15,016345O,4.60,332.30,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1264.53,1264.53
,016426O,6243.63,74238.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6243.63,74238.33,None,15213.11,15213.11
portfolio_71_trade_9,016426O,5469.20,73892.20,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,6395.14,6395.14
,016479C,47.86,1200.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.86,1200.16,None,8138.11,8138.11
portfolio_36_trade_14,016479C,35.23,1187.96,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,4329.77,4329.77
,016480C,12.20,252.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,252.17,None,1433.96,1433.96
portfolio_71_trade_14,016480C,8.67,250.01,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,744.71,744.71
,016483O,1363.77,3269.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1363.77,3269.38,None,22470.78,22470.78
portfolio_71_trade_6,016483O,1177.64,3216.27,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,13497.48,13497.48
,016507O,2.96,36.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,36.43,None,362.24,362.24
portfolio_71_trade_11,016507O,2.13,35.97,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,197.73,197.73
,016508O,2.49,30.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49,30.68,None,305.04,305.04
portfolio_68_trade_10,016508O,1.79,30.29,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,166.51,166.51
,016509O,32.68,402.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.68,402.63,None,4003.70,4003.70
portfolio_68_trade_5,016509O,23.53,397.55,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2185.40,2185.40
,016510O,14.94,184.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.94,184.06,None,1830.26,1830.26
portfolio_69_trade_4,016510O,10.76,181.73,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,999.04,999.04
,016519C,2.27,50.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,50.60,None,436.74,436.74
portfolio_68_trade_9,016519C,1.67,50.02,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,236.08,236.08
,016692O,839.28,5691.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,839.28,5691.35,None,54519.82,54519.82
portfolio_75_trade_13,016692O,610.48,5618.91,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,29688.17,29688.17
,016793C,253.73,6191.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253.73,6191.66,None,31916.41,31916.41
portfolio_75_trade_6,016793C,181.90,6142.43,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,16533.53,16533.53
,016872C,46.10,1311.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.10,1311.31,None,5335.80,5335.80
