#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
20,0.879866,1.214547,-0.000870,0.009881,0.005826,2566142.235837,2637514.356117,2636445.350602,2638184.254655,-1302957.422318,3322534.937510
21,0.881091,1.267565,0.001770,0.010490,0.010220,2614929.444080,2637469.549321,2636445.350602,2638184.254655,16923.754898,3322534.937510
22,0.881659,1.239169,-0.001266,0.007433,0.008766,2629109.726848,2637448.788474,2636445.350602,2638184.254655,-2741174.765088,3322534.937510
23,0.882652,1.230943,-0.000535,0.008151,0.006995,2643517.895562,2637412.501521,2636445.350602,2638184.254655,4485.165133,3322534.937510
24,0.884716,1.234016,-0.003370,0.008561,0.008641,2378331.121867,2637337.155933,2636445.350602,2638184.254655,625518.637137,3322534.937510
25,0.885005,1.271128,0.000741,0.005912,0.003026,2725074.370067,2637326.601922,2636445.350602,2638184.254655,-78078.178504,3322534.937510
26,0.885224,1.199067,-0.002308,0.005755,0.008447,2728454.027851,2637318.610757,2636445.350602,2638184.254655,-877081.060179,3322534.937510
27,0.885297,1.200613,-0.002160,0.004858,0.006781,2775696.048144,2637315.959065,2636445.350602,2638184.254655,2173356.133315,3322534.937510
28,0.885597,1.195524,-0.000236,0.003908,0.000112,2931665.129005,2637305.012194,2636445.350602,2638184.254655,460636.281639,3322534.937510
29,0.887245,1.274548,-0.000756,0.011362,0.007234,2259209.979990,2637244.944324,2636445.350602,2638184.254655,7499.965459,3322534.937510
30,0.887301,1.241431,-0.000031,0.007581,0.007920,2663113.556750,2637242.906397,2636445.350602,2638184.254655,384663.959157,3322534.937510
31,0.891050,1.203587,0.002667,0.008906,0.005273,2836374.483854,2637106.422008,2636445.350602,2638184.254655,397903.111831,3322534.937510
32,0.893429,1.214780,0.001663,0.006615,0.007567,2866671.139237,2637019.977554,2636445.350602,2638184.254655,402236.245959,3322534.937510
33,0.893703,1.284207,-0.000588,0.007445,0.001993,2420413.575681,2637010.046285,2636445.350602,2638184.254655,-925022.211524,3322534.937510
34,0.895834,1.204272,-0.003453,0.006227,0.004781,2496224.641814,2636932.719735,2636445.350602,2638184.254655,-20568.434913,3322534.937510
35,0.896010,1.186491,0.000104,0.008979,0.004518,2648659.814003,2636926.324086,2636445.350602,2638184.254655,1306527.599292,3322534.937510
36,0.897534,1.264102,0.001194,0.004960,0.009534,2792050.613962,2636871.092237,2636445.350602,2638184.254655,-755750.684586,3322534.937510
37,0.898674,1.209204,-0.000717,0.006566,0.004377,2652987.517643,2636829.789172,2636445.350602,2638184.254655,-234217.027644,3322534.937510
38,0.899931,1.264005,-0.002169,0.008348,0.004959,2257225.867026,2636784.289704,2636445.350602,2638184.254655,-1315301.845357,3322534.937510
39,0.900153,1.217295,-0.001897,0.006124,0.006691,2573691.285199,2636776.281876,2636445.350602,2638184.254655,976904.492419,3322534.937510
40,0.900693,1.275751,0.000863,0.007851,0.010292,2546783.169183,2636756.725872,2636445.350602,2638184.254655,-669298.764097,3322534.937510
41,0.901015,1.189763,-0.001666,0.009988,0.010333,2442725.609380,2636745.087469,2636445.350602,2638184.254655,-440382.305363,3322534.937510
42,0.901535,1.276097,-0.001350,0.008909,0.007413,2260668.593725,2636726.272460,2636445.350602,2638184.254655,3322400.216690,3322534.937510
43,0.902813,1.258913,-0.000094,0.005790,0.006694,2604216.802468,2636680.115930,2636445.350602,2638184.254655,1198835.850632,3322534.937510
44,0.905792,1.199182,0.003392,0.008326,0.006529,2844363.925916,2636572.586048,2636445.350602,2638184.254655,-451874.652746,3322534.937510
45,0.906364,1.240341,-0.004161,0.011251,0.010624,1914835.727432,2636551.932800,2636445.350602,2638184.254655,-509737.844210,3322534.937510
46,0.911119,1.252684,0.005500,0.006766,0.008209,2926388.066382,2636380.751133,2636445.350602,2638184.254655,1712622.040907,3322534.937510
47,0.914289,1.215985,0.001794,0.010526,0.009733,2512977.724330,2636266.847831,2636445.350602,2638184.254655,-234155.305144,3322534.937510
48,0.915480,1.256360,-0.001278,0.006414,0.006967,2384204.294462,2636224.124667,2636445.350602,2638184.254655,-545932.143957,3322534.937510
49,0.922570,1.216899,0.000023,0.009071,0.006433,2371963.872519,2635970.303903,2636445.350602,2638184.254655,1328248.406000,3322534.937510
