#Date,EPE,ENE
2029-09-28,797759.7884,493531.7572
2029-10-12,797765.8104,493537.7791
2029-10-26,798033.8996,493805.8683
2029-11-09,694090.9840,492378.5586
2029-11-23,694425.2875,492712.8621
2029-12-07,694661.5203,492949.0949
2029-12-21,695011.0842,493298.6588
2030-01-04,695492.1263,493779.7009
2030-01-18,695672.5603,493960.1349
2030-02-01,696078.8091,494366.3837
2030-02-15,696172.8083,494460.3829
2030-03-01,696382.6176,494670.1922
2030-03-15,696581.4756,494869.0502
2030-03-29,696802.6351,495090.2097
2030-04-12,696889.5700,495177.1446
2030-04-26,697055.7792,495343.3538
2030-05-10,689416.6749,409558.4515
2030-05-24,689568.5499,409710.3266
2030-06-07,689897.9135,410039.6901
2030-06-21,690225.5592,410367.3358
2030-07-05,690162.8263,410304.6030
2030-07-19,690477.9185,410619.6951
2030-08-02,690469.5474,410611.3240
2030-08-16,690869.5382,411011.3149
2030-08-30,691091.4772,411233.2538
2030-09-13,691391.3018,411533.0784
2030-09-27,691335.9129,411477.6896
2030-10-11,691523.2634,411665.0400
2030-10-25,691807.9578,411949.7344
2030-11-08,587113.2392,408529.0548
2030-11-22,587309.6644,408725.4800
2030-12-06,587752.1402,409167.9559
2030-12-20,588006.6689,409422.4846
2031-01-03,588478.6758,409894.4914
2031-01-17,588754.3197,410170.1354
2031-01-31,589170.0629,410585.8786
2031-02-14,589474.3759,410890.1915
2031-02-28,590484.8157,411900.6313
2031-03-14,591286.9891,412702.8047
2031-03-28,592163.4285,413579.2442
2031-04-15,593401.1561,414816.9717
2031-04-25,593970.1451,415385.9608
2031-05-09,586178.9546,333389.5962
2031-05-23,586982.9205,334193.5621
2031-06-06,587804.4158,335015.0575
2031-06-20,588918.9515,336129.5932
2031-07-07,590065.9622,337276.6038
2031-07-18,590802.2028,338012.8444
2031-08-04,591887.0165,339097.6582
2031-08-15,592375.2631,339585.9048
2031-08-29,593213.2476,340423.8892
2031-09-12,594297.9020,341508.5436
2031-09-26,595159.7773,342370.4189
2031-10-10,595866.4049,343077.0466
2031-10-24,596798.5816,344009.2233
2031-11-07,489100.9512,342731.3794
2031-11-21,489661.2654,343291.6936
2031-12-05,490686.2397,344316.6679
2031-12-19,491057.2948,344687.7230
2032-01-05,491761.1001,345391.5283
2032-01-16,492517.1747,346147.6029
2032-01-30,493318.1434,346948.5716
2032-02-13,493816.7636,347447.1918
2032-02-27,493964.0662,347594.4944
2032-03-12,494335.5622,347965.9904
2032-03-30,495012.4625,348642.8907
2032-04-09,495031.7567,348662.1849
2032-04-23,495319.2771,348949.7053
2032-05-07,482584.1770,266904.4630
2032-05-21,482866.0188,267186.3048
2032-06-04,483130.5829,267450.8689
2032-06-21,483434.1499,267754.4359
2032-07-02,483820.6856,268140.9717
2032-07-16,484186.1703,268506.4563
2032-07-30,484509.1381,268829.4241
2032-08-13,484839.2326,269159.5187
2032-08-27,485109.6654,269429.9514
2032-09-10,485385.1018,269705.3879
2032-09-24,485661.4463,269981.7323
2032-10-08,485755.0350,270075.3210
2032-10-22,486015.1796,270335.4657
2032-11-05,375095.9311,264786.5252
2032-11-19,375323.6346,265014.2286
2032-12-03,375510.3521,265200.9461
2032-12-17,375728.9359,265419.5299
2033-01-04,375918.5815,265609.1755
2033-01-14,376137.5675,265828.1615
2033-01-28,376127.2856,265817.8797
2033-02-11,376466.1301,266156.7241
2033-02-25,376644.5207,266335.1147
2033-03-11,376828.9582,266519.5522
2033-03-25,376885.8242,266576.4182
2033-04-08,376993.7745,266684.3685
2033-04-22,377153.8104,266844.4044
2033-05-06,363061.5819,185188.0665
2033-05-20,363184.6780,185311.1626
2033-06-03,363284.7040,185411.1887
2033-06-17,363418.6164,185545.1010
2033-07-01,363510.0966,185636.5813
2033-07-15,363559.4161,185685.9007
2033-07-29,363617.8167,185744.3013
2033-08-12,363705.4828,185831.9674
