#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
94,0.635024,-0.008118,-0.007961,1225942.811770,0.000000,1784027.818359,1852580.809479,-1035577.621241,2096519.677726
95,0.636040,0.006644,0.009087,1188610.542599,0.000000,1784027.818359,1852580.809479,724706.505589,2096519.677726
96,0.637288,-0.003890,0.001582,1219991.551933,1671941.057302,1784027.818359,1852580.809479,-640087.027709,2096519.677726
97,0.638293,-0.003842,-0.017057,1102995.014067,0.000000,1784027.818359,1852580.809479,-73718.054299,2096519.677726
98,0.638353,0.011218,-0.008724,1113125.087657,0.000000,1784027.818359,1852580.809479,170668.557971,2096519.677726
99,0.638917,0.005199,0.036727,1238622.418907,0.000000,1784027.818359,1852580.809479,753534.976184,2096519.677726
100,0.639725,0.000757,0.020025,1244359.516342,0.000000,1784027.818359,1852580.809479,-207558.964525,2096519.677726
101,0.641146,0.008351,0.010728,1214092.195493,0.000000,1784027.818359,1852580.809479,325976.011820,2096519.677726
102,0.641256,-0.004603,0.026627,1302531.835042,0.000000,1784027.818359,1852580.809479,634124.982628,2096519.677726
103,0.641516,-0.015890,-0.010955,1392099.268253,0.000000,1784027.818359,1852580.809479,102730.595346,2096519.677726
104,0.641824,0.002703,0.031736,1252516.042743,1675017.083687,1784027.818359,1852580.809479,-811295.351373,2096519.677726
105,0.644774,-0.001214,0.021947,1275879.337397,0.000000,1784027.818359,1852580.809479,-313727.227916,2096519.677726
106,0.645056,-0.003858,0.010465,1276883.056472,0.000000,1784027.818359,1852580.809479,-424984.394023,2096519.677726
107,0.645360,0.012435,0.027153,1287991.740497,0.000000,1784027.818359,1852580.809479,-346596.482371,2096519.677726
108,0.649642,-0.006392,0.012334,1327511.453280,0.000000,1784027.818359,1852580.809479,-1390728.381364,2096519.677726
109,0.650522,0.002475,-0.019395,1059399.545261,0.000000,1784027.818359,1852580.809479,972085.444034,2096519.677726
110,0.651186,-0.000450,-0.002561,1206734.498008,0.000000,1784027.818359,1852580.809479,262905.790818,2096519.677726
111,0.653196,-0.002490,0.018021,1305335.994963,0.000000,1784027.818359,1852580.809479,-288018.852956,2096519.677726
112,0.653654,0.011135,0.007317,1251423.204824,0.000000,1784027.818359,1852580.809479,74978.172139,2096519.677726
113,0.653675,0.015740,0.022091,1336970.645722,0.000000,1784027.818359,1852580.809479,710625.875192,2096519.677726
114,0.654546,-0.005259,0.030854,1349531.488264,0.000000,1784027.818359,1852580.809479,595480.396350,2096519.677726
115,0.656008,0.012854,0.023311,1316592.366819,0.000000,1784027.818359,1852580.809479,1165709.009433,2096519.677726
116,0.656114,-0.003968,0.007239,1300295.515272,0.000000,1784027.818359,1852580.809479,674704.519832,2096519.677726
117,0.656892,0.001938,0.039014,1295797.534004,0.000000,1784027.818359,1852580.809479,-637020.820845,2096519.677726
118,0.657653,-0.005058,0.005135,1310413.266019,0.000000,1784027.818359,1852580.809479,675840.761635,2096519.677726
119,0.658389,-0.010315,0.014349,1417577.824482,1686393.217358,1784027.818359,1852580.809479,80895.625115,2096519.677726
120,0.658456,0.020544,0.020384,1412736.134624,0.000000,1784027.818359,1852580.809479,728004.762218,2096519.677726
121,0.658573,-0.007150,0.001243,1326761.819891,0.000000,1784027.818359,1852580.809479,-587352.828977,2096519.677726
122,0.660222,0.001119,0.004761,1258518.497187,0.000000,1784027.818359,1852580.809479,444275.177442,2096519.677726
123,0.661262,0.009204,0.041063,1311281.650521,0.000000,1784027.818359,1852580.809479,1071280.672264,2096519.677726
124,0.661531,-0.005259,0.030997,1369522.430649,0.000000,1784027.818359,1852580.809479,159882.045462,2096519.677726
125,0.662039,-0.007771,0.024946,1401901.598255,0.000000,1784027.818359,1852580.809479,-256327.474487,2096519.677726
126,0.663400,0.000262,0.033981,1326415.991097,0.000000,1784027.818359,1852580.809479,-670729.184130,2096519.677726
127,0.664623,0.017081,0.042504,1391154.864341,1690732.817565,1784027.818359,1852580.809479,-182921.621366,2096519.677726
128,0.664835,-0.016783,-0.006016,1500234.696897,1690881.317351,1784027.818359,1852580.809479,1010820.973612,2096519.677726
129,0.666194,0.017873,0.036115,1409557.716867,1691831.857846,1784027.818359,1852580.809479,377091.738169,2096519.677726
130,0.666441,0.000432,0.019163,1323743.815485,0.000000,1784027.818359,1852580.809479,57948.778576,2096519.677726
131,0.667925,0.014116,0.015928,1344921.243707,0.000000,1784027.818359,1852580.809479,72592.431639,2096519.677726
132,0.669777,-0.005283,0.039535,1386926.354178,0.000000,1784027.818359,1852580.809479,631817.528740,2096519.677726
133,0.669830,0.004311,-0.006138,1217503.227854,0.000000,1784027.818359,1852580.809479,-52051.067251,2096519.677726
134,0.670144,-0.018480,-0.002523,1568095.131982,0.000000,1784027.818359,1852580.809479,-922235.335199,2096519.677726
135,0.671578,-0.001524,0.048484,1340083.080850,0.000000,1784027.818359,1852580.809479,-415023.731144,2096519.677726
136,0.672945,0.001585,0.008597,1308322.716318,0.000000,1784027.818359,1852580.809479,539418.662495,2096519.677726
137,0.673747,-0.005838,0.031020,1410820.677634,0.000000,1784027.818359,1852580.809479,-114603.707319,2096519.677726
138,0.673794,0.021886,0.021141,1474929.566050,0.000000,1784027.818359,1852580.809479,605482.677826,2096519.677726
139,0.674691,-0.007845,-0.004229,1358968.988328,0.000000,1784027.818359,1852580.809479,339071.277432,2096519.677726
140,0.674918,0.004232,0.029968,1346159.191006,0.000000,1784027.818359,1852580.809479,233622.890591,2096519.677726
141,0.675998,0.001672,0.025413,1353470.532779,0.000000,1784027.818359,1852580.809479,-172004.954832,2096519.677726
142,0.676414,0.008947,0.011434,1321951.381482,0.000000,1784027.818359,1852580.809479,145823.582552,2096519.677726
143,0.676881,0.004313,0.039492,1348422.920191,1699365.398840,1784027.818359,1852580.809479,-270511.742570,2096519.677726
144,0.677006,0.022673,0.024755,1502634.382484,0.000000,1784027.818359,1852580.809479,-1211414.156855,2096519.677726
145,0.680475,-0.002134,0.021923,1386682.024562,0.000000,1784027.818359,1852580.809479,762906.910380,2096519.677726
146,0.681394,-0.004744,0.020033,1412336.456345,0.000000,1784027.818359,1852580.809479,-523498.629335,2096519.677726
147,0.681615,0.001082,0.012623,1348643.844677,0.000000,1784027.818359,1852580.809479,-19573.748098,2096519.677726
148,0.682367,0.005827,0.013022,1338711.114564,0.000000,1784027.818359,1852580.809479,430631.759996,2096519.677726
149,0.682944,-0.007298,0.009225,1425762.964729,0.000000,1784027.818359,1852580.809479,-74636.141903,2096519.677726
150,0.684429,0.018741,0.037876,1468497.506452,0.000000,1784027.818359,1852580.809479,1504661.995931,2096519.677726
151,0.684986,-0.001321,0.008291,1361450.709247,0.000000,1784027.818359,1852580.809479,576484.610517,2096519.677726
152,0.688169,0.012038,0.029046,1405695.088416,0.000000,1784027.818359,1852580.809479,-1404207.684592,2096519.677726
153,0.690123,0.012040,0.052029,1390943.059702,0.000000,1784027.818359,1852580.809479,-324678.502944,2096519.677726
154,0.691604,0.009995,0.043003,1398726.919352,0.000000,1784027.818359,1852580.809479,-1948731.758307,2096519.677726
155,0.691745,-0.010601,0.008593,1499078.029180,0.000000,1784027.818359,1852580.809479,260808.330145,2096519.677726
156,0.691870,0.021236,0.023175,1512982.401726,0.000000,1784027.818359,1852580.809479,-110996.972428,2096519.677726
157,0.691899,0.004528,0.030973,1394124.167468,1710126.500992,1784027.818359,1852580.809479,-1384549.169379,2096519.677726
158,0.692548,0.006311,0.015316,1373808.407860,0.000000,1784027.818359,1852580.809479,-406164.883586,2096519.677726
