#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,CC_SWAP_EUR_USD,2022-08-05,6.496152,3715043,19736750,0,0,27267418,4232978,4232978,1512133.53,1513477.41
BASE,CC_SWAP_EUR_USD,2022-11-07,6.753687,3883396,19957328,0,0,26961704,4447737,4447737,1624075.12,1625367.76
BASE,CC_SWAP_EUR_USD,2023-02-06,7.003002,4124473,19491334,0,0,29962338,4747551,4747551,1735274.51,1736521.13
BASE,CC_SWAP_EUR_USD,2023-05-05,7.244098,4205097,19577224,0,0,28856258,4863838,4863838,1839398.44,1840603.57
BASE,CC_SWAP_EUR_USD,2023-08-07,7.501632,4507646,19157412,0,0,29742314,5240807,5240807,1956170.26,1957334.01
BASE,CC_SWAP_EUR_USD,2023-11-06,7.750947,4668290,19280440,0,0,32116970,5454812,5454812,2068706.73,2069833.05
BASE,CC_SWAP_EUR_USD,2024-02-05,8.000000,4906059,18878816,0,0,34108260,5761405,5761405,2183666.44,2184757.70
BASE,CC_SWAP_EUR_USD,2024-05-06,8.248634,5046822,19005840,0,0,34240896,5956446,5956446,2297387.18,2298445.54
BASE,CC_SWAP_EUR_USD,2024-08-05,8.497268,5271578,18654554,0,0,33591840,6252927,6252927,2413128.04,2414155.44
BASE,CC_SWAP_EUR_USD,2024-11-05,8.748634,5415521,18841262,0,0,34957368,6456250,6456250,2529295.18,2530293.06
BASE,CC_SWAP_EUR_USD,2025-02-05,9.000262,5820776,18545418,0,0,36871972,6974585,6974585,2653576.01,2654545.99
BASE,CC_SWAP_EUR_USD,2025-05-05,9.244098,5882822,18652888,0,0,37382192,7083520,7083520,2770426.58,2771370.97
BASE,CC_SWAP_EUR_USD,2025-08-05,9.496152,6192433,18427582,0,0,35834476,7494149,7494149,2895807.55,2896726.87
BASE,CC_SWAP_EUR_USD,2025-11-05,9.748207,6364269,18527516,0,0,36400832,7741179,7741179,3021092.02,3021987.58
BASE,CC_SWAP_EUR_USD,2026-02-05,10.000262,0,0,0,0,0,0,7741179,2944945.94,3140933.93
BASE,CC_SWAP_EUR_USD,2026-05-05,10.244098,0,0,0,0,0,0,7741179,0.00,0.00
BASE,CC_SWAP_EUR_USD,2026-08-05,10.496152,0,0,0,0,0,0,7741179,0.00,0.00
