#TradeId,ResultId,ResultType,ResultValue
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-11,double,4339.259470
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-14,double,4340.579205
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-15,double,4341.019206
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-16,double,4341.459251
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-17,double,4341.899343
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-18,double,4342.339479
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-21,double,4343.660154
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-22,double,4344.100469
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-23,double,4344.540828
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-24,double,4344.981232
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-25,double,4345.421681
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-28,double,4346.743297
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-29,double,4347.183925
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-30,double,4347.624597
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-31,double,4348.065457
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-01,double,4348.506362
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-04,double,4349.829344
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-05,double,4350.270428
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-06,double,4350.711556
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-07,double,4351.152729
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-08,double,4351.593947
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-11,double,4352.917869
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-12,double,4353.367174
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-13,double,4353.816526
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-14,double,4354.265924
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-15,double,4354.715368
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-18,double,4356.063980
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-19,double,4356.513610
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-20,double,4356.963286
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-21,double,4357.413009
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-22,double,4357.862779
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-25,double,4359.212365
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-26,double,4359.662320
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-27,double,4360.112321
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-28,double,4360.562369
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-29,double,4361.012464
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-02,double,4362.363026
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-03,double,4362.813306
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-04,double,4363.263632
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-05,double,4363.714006
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-06,double,4364.164425
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-09,double,4365.515963
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-10,double,4365.966569
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-11,double,4366.423314
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-12,double,4366.880107
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-13,double,4367.336947
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-16,double,4368.707755
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-17,double,4369.164787
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-18,double,4369.621867
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-19,double,4370.078994
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-20,double,4370.536169
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-23,double,4371.907982
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-24,double,4372.365348
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-25,double,4372.822762
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-26,double,4373.280225
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-27,double,4373.737735
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-30,double,4375.110552
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-31,double,4375.568254
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-01,double,4376.026003
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-02,double,4376.483800
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-03,double,4376.941646
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-06,double,4378.315469
