#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
122,2020-10-23,14,77808.724775,78575.424606,0.000000,108017.691870,CPTY_A
123,2020-11-06,14,99490.330445,99702.202908,0.000000,144403.680454,CPTY_A
124,2020-11-20,14,77691.504069,78013.303992,0.000000,94164.733301,CPTY_A
125,2020-12-04,14,106522.002109,107582.792128,0.000000,139627.030501,CPTY_A
126,2020-12-18,17,79621.797100,80166.394499,0.000000,95838.675559,CPTY_A
127,2021-01-04,11,95937.349543,97345.344405,0.000000,109462.669110,CPTY_A
128,2021-01-15,14,93109.050233,93690.123205,0.000000,97568.280874,CPTY_A
129,2021-01-29,14,90027.954339,90309.485177,0.000000,96464.084542,CPTY_A
130,2021-02-12,14,105935.635939,106211.203629,0.000000,128057.728671,CPTY_A
131,2021-02-26,14,75536.759493,75870.774804,0.000000,86361.997636,CPTY_A
132,2021-03-12,14,98621.215728,100359.158255,0.000000,93327.416465,CPTY_A
133,2021-03-26,14,83336.293774,83698.653153,0.000000,86612.679732,CPTY_A
134,2021-04-09,14,69998.306686,70356.992652,0.000000,85644.823189,CPTY_A
135,2021-04-23,14,120462.736552,121052.585891,0.000000,186476.336224,CPTY_A
136,2021-05-07,14,109862.703994,110982.386302,0.000000,125566.748477,CPTY_A
137,2021-05-21,14,87937.851765,87940.252684,0.000000,89279.387016,CPTY_A
138,2021-06-04,14,69754.976838,69763.341230,0.000000,67031.637160,CPTY_A
139,2021-06-18,14,86250.655733,86281.495181,0.000000,108250.970946,CPTY_A
140,2021-07-02,14,83942.733042,83959.969146,0.000000,87499.271164,CPTY_A
141,2021-07-16,14,90466.676177,91829.989954,0.000000,147775.906024,CPTY_A
142,2021-07-30,14,121427.543325,122620.918164,0.000000,178358.944267,CPTY_A
143,2021-08-13,14,102688.252200,104075.466098,0.000000,74321.398031,CPTY_A
144,2021-08-27,14,65003.125462,66636.507825,0.000000,48403.395269,CPTY_A
145,2021-09-10,14,76059.783564,76884.718986,0.000000,77282.641126,CPTY_A
146,2021-09-24,14,75598.801211,76240.509306,0.000000,100379.613295,CPTY_A
147,2021-10-08,14,116560.990806,116819.227602,0.000000,113147.063577,CPTY_A
148,2021-10-22,14,88603.734374,88963.575077,0.000000,100810.132188,CPTY_A
149,2021-11-05,14,95446.978190,96016.806519,0.000000,78720.374796,CPTY_A
150,2021-11-19,14,97964.832133,98148.796752,0.000000,179490.453002,CPTY_A
151,2021-12-03,14,82868.353490,83277.947694,0.000000,123922.116824,CPTY_A
152,2021-12-17,18,82676.132189,84043.129836,0.000000,90584.824075,CPTY_A
153,2022-01-04,10,75793.401714,75830.620039,0.000000,96484.125186,CPTY_A
154,2022-01-14,14,87471.730040,87872.228344,0.000000,54445.349668,CPTY_A
155,2022-01-28,14,90533.445782,90859.582071,0.000000,114076.811165,CPTY_A
156,2022-02-11,14,80564.920170,80571.764223,0.000000,97254.859499,CPTY_A
157,2022-02-25,14,89190.237665,89298.376313,0.000000,97664.624807,CPTY_A
