#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
28,0.940412,-0.003250,0.012991,1758990.555383,1716380.853180,1556115.844654,1766790.624711,-299195.384704,1053096.990658
29,0.944836,0.011289,0.043343,2453770.453664,1724833.094821,1556115.844654,1766790.624711,-295913.772016,1053096.990658
30,0.946486,-0.011106,-0.009874,1364142.182516,1728008.982157,1556115.844654,1766790.624711,1124388.209091,1053096.990658
31,0.951592,0.001917,-0.004373,1722030.949369,1737924.235345,1556115.844654,1766790.624711,-207548.464294,1053096.990658
32,1.002170,0.001023,0.042604,2363144.280934,1842586.508542,1556115.844654,1766790.624711,-863381.156295,1053096.990658
33,1.004628,0.002856,-0.006637,1674906.158586,1847949.910298,1556115.844654,1766790.624711,-390367.583197,1053096.990658
34,1.014464,-0.004011,0.017977,1970197.730846,1869646.204650,1556115.844654,1766790.624711,663920.598688,1053096.990658
35,1.023179,-0.002634,0.020494,2133718.268727,1889168.693065,1556115.844654,1766790.624711,-501280.511152,1053096.990658
36,1.035586,0.010395,0.011769,2098812.159824,1917422.034924,1556115.844654,1766790.624711,-356740.536524,1053096.990658
37,1.039788,-0.000319,0.008405,2189173.975410,1927105.585618,1556115.844654,1766790.624711,-366924.712576,1053096.990658
38,1.091355,0.006830,0.013846,2575629.058573,2049906.752613,1556115.844654,1766790.624711,19115.679705,1053096.990658
39,1.099121,-0.006228,0.041714,2180969.954826,2068912.465099,1556115.844654,1766790.624711,-442897.752322,1053096.990658
40,1.106869,0.002865,0.021964,2844291.424775,2087970.506436,1556115.844654,1766790.624711,490952.894410,1053096.990658
41,1.148059,0.024311,0.051451,3847408.893747,2190395.665383,1556115.844654,1766790.624711,957640.782680,1053096.990658
42,1.149952,0.010455,0.012478,2707930.442414,2195128.137010,1556115.844654,1766790.624711,879258.383604,1053096.990658
43,1.152244,0.000471,0.003957,2511606.264694,2200858.440858,1556115.844654,1766790.624711,-52286.665096,1053096.990658
44,1.158945,-0.002019,0.020744,2857409.719592,2217615.358535,1556115.844654,1766790.624711,-767184.160104,1053096.990658
45,1.242685,-0.008763,-0.001560,2250487.417680,2423853.015248,1556115.844654,1766790.624711,-2719077.998177,1053096.990658
46,1.249613,0.012306,0.036020,4158880.186096,2440344.495061,1556115.844654,1766790.624711,-3033557.874263,1053096.990658
47,1.252392,0.012358,0.016406,3380302.048342,2446923.619801,1556115.844654,1766790.624711,-834649.778906,1053096.990658
48,1.326555,-0.001875,-0.006367,2777754.901440,2612035.083296,1556115.844654,1766790.624711,937655.065950,1053096.990658
49,1.676535,-0.020828,-0.005631,2957204.061457,2699564.023274,1556115.844654,1766790.624711,-533958.193855,1053096.990658
