#upperBucketBound,pdf,cdf
-8300000.000000,0.00023150,0.00978500
-8200000.000000,0.00011850,0.00990350
-8100000.000000,0.00014100,0.01004450
-8000000.000000,0.00015100,0.01019550
-7900000.000000,0.00024000,0.01043550
-7800000.000000,0.00010900,0.01054450
-7700000.000000,0.00011500,0.01065950
-7600000.000000,0.00018750,0.01084700
-7500000.000000,0.00007300,0.01092000
-7400000.000000,0.00008600,0.01100600
-7300000.000000,0.00006700,0.01107300
-7200000.000000,0.00013200,0.01120500
-7100000.000000,0.00006450,0.01126950
-7000000.000000,0.00012750,0.01139700
-6900000.000000,0.00004000,0.01143700
-6800000.000000,0.00004900,0.01148600
-6700000.000000,0.00004800,0.01153400
-6600000.000000,0.00003050,0.01156450
-6500000.000000,0.00006550,0.01163000
-6400000.000000,0.00007500,0.01170500
-6300000.000000,0.00003300,0.01173800
-6200000.000000,0.00010050,0.01183850
-6100000.000000,0.00006250,0.01190100
-6000000.000000,0.00007250,0.01197350
-5900000.000000,0.00005350,0.01202700
-5800000.000000,0.00004650,0.01207350
-5700000.000000,0.00009900,0.01217250
-5600000.000000,0.00011800,0.01229050
-5500000.000000,0.00010650,0.01239700
-5400000.000000,0.00010550,0.01250250
-5300000.000000,0.00015300,0.01265550
-5200000.000000,0.00015500,0.01281050
-5100000.000000,0.00017900,0.01298950
-5000000.000000,0.00017650,0.01316600
-4900000.000000,0.00021400,0.01338000
-4800000.000000,0.00018800,0.01356800
-4700000.000000,0.00021900,0.01378700
-4600000.000000,0.00020350,0.01399050
-4500000.000000,0.00018550,0.01417600
-4400000.000000,0.00019650,0.01437250
-4300000.000000,0.00024800,0.01462050
-4200000.000000,0.00017600,0.01479650
-4100000.000000,0.00018550,0.01498200
-4000000.000000,0.00030950,0.01529150
-3900000.000000,0.00034100,0.01563250
-3800000.000000,0.00041700,0.01604950
-3700000.000000,0.00053200,0.01658150
-3600000.000000,0.00074650,0.01732800
-3500000.000000,0.00119300,0.01852100
-3400000.000000,0.00160400,0.02012500
-3300000.000000,0.00127900,0.02140400
-3200000.000000,0.00206700,0.02347100
-3100000.000000,0.00260600,0.02607700
-3000000.000000,0.00325400,0.02933100
-2900000.000000,0.00329150,0.03262250
-2800000.000000,0.00393500,0.03655750
-2700000.000000,0.00410300,0.04066050
-2600000.000000,0.00366350,0.04432400
-2500000.000000,0.00331150,0.04763550
-2400000.000000,0.00271700,0.05035250
-2300000.000000,0.00234800,0.05270050
-2200000.000000,0.00140100,0.05410150
-2100000.000000,0.00135050,0.05545200
-2000000.000000,0.00065700,0.05610900
-1900000.000000,0.00043450,0.05654350
-1800000.000000,0.00062550,0.05716900
-1700000.000000,0.00086050,0.05802950
-1600000.000000,0.00316500,0.06119450
-1500000.000000,0.00656900,0.06776350
-1400000.000000,0.01143800,0.07920150
-1300000.000000,0.01963600,0.09883750
-1200000.000000,0.02945000,0.12828750
-1100000.000000,0.03130150,0.15958900
-1000000.000000,0.02385550,0.18344450
-900000.000000,0.01413750,0.19758200
-800000.000000,0.00470500,0.20228700
-700000.000000,0.00082350,0.20311050
-600000.000000,0.00005250,0.20316300
-500000.000000,0.00000000,0.20316300
-400000.000000,0.00000000,0.20316300
-300000.000000,0.00000000,0.20316300
-200000.000000,0.00000000,0.20316300
