#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
eur_6m_up,Swap_EUR,CPTY_A,175438.08,6615.00,2934.64,-26560.82,3574.85,-29420.03,4027.13,-31348.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3194344.57,3284950.21
eur_6m_up,Swap_USD,CPTY_A,50525.88,54897.50,25414.99,-7473.02,28796.34,-8472.90,31101.62,-9152.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,321080.64,321080.64
eonia_up,,CPTY_A,73241.39,2147017.40,-3016881.07,-220267.35,-3240526.04,-254612.38,-3384767.56,-277798.83,0.00,-559808.42,0.00,0.00,0.00,0.00,0.00,73241.39,2147017.40,None,0.00,0.00
eonia_up,BermSwp,CPTY_A,3183.37,50.17,-62.61,-9792.85,-82.27,-11066.86,-96.81,-11935.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,39081.31,39081.31
eonia_up,CC_SWAP_EUR_USD,CPTY_A,54997.94,2157435.78,-3033780.39,-169004.45,-3254460.91,-191191.84,-3396327.00,-205774.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
eonia_up,FX_CALL_OPTION,CPTY_A,12540.62,0.00,0.00,-40246.37,0.00,-43597.76,0.00,-45765.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,223735.73,223735.73
eonia_up,Swap_EUR,CPTY_A,28745.87,52062.01,-70713.96,-87886.64,-80492.72,-99923.53,-87177.43,-108128.43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,174685.10,176246.68
eonia_up,Swap_USD,CPTY_A,39261.27,43635.26,-59603.34,-120668.31,-67191.57,-136466.62,-72349.12,-147177.60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,254424.85,254424.85
no_shift,,CPTY_A,86594.42,2630213.01,1254758.58,-12509.85,1349148.79,-14521.41,1410071.09,-15885.22,0.00,-32236.81,0.00,0.00,0.00,0.00,0.00,86594.42,2630213.01,None,0.00,0.00
no_shift,BermSwp,CPTY_A,4418.07,69.06,29.25,-654.75,38.51,-740.89,45.35,-799.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52993.66,52993.66
no_shift,CC_SWAP_EUR_USD,CPTY_A,61520.71,2642650.66,1261785.55,-9117.18,1354631.42,-10316.70,1414334.49,-11105.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
no_shift,FX_CALL_OPTION,CPTY_A,15635.84,0.00,0.00,-2420.47,0.00,-2622.05,0.00,-2752.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,275570.17,275570.17
no_shift,Swap_EUR,CPTY_A,38558.12,68797.07,31686.55,-5666.30,36221.27,-6465.98,39329.90,-7012.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,216190.86,216190.86
no_shift,Swap_USD,CPTY_A,50525.67,54896.61,25414.58,-7472.99,28795.87,-8472.87,31101.10,-9152.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,321080.41,321080.41
