#TradeId,Scenario Label,Up/Down,Base NPV,Scenario NPV,Sensitivity
FLOOR_EUR,CAPFLOOR/EUR/0/0.01/3/5Y,Up,78342.159944,78516.940385,174.780441
FLOOR_EUR,CAPFLOOR/EUR/0/0.01/4/7Y,Up,78342.159944,78605.104479,262.944535
FLOOR_EUR,CAPFLOOR/EUR/0/0.01/5/10Y,Up,78342.159944,78483.976680,141.816736
FLOOR_EUR,DISCOUNT/EUR/0/6M,Up,78342.159944,78341.918591,-0.241353
FLOOR_EUR,DISCOUNT/EUR/1/1Y,Up,78342.159944,78341.337997,-0.821946
FLOOR_EUR,DISCOUNT/EUR/2/2Y,Up,78342.159944,78339.997652,-2.162292
FLOOR_EUR,DISCOUNT/EUR/3/3Y,Up,78342.159944,78337.990711,-4.169233
FLOOR_EUR,DISCOUNT/EUR/4/5Y,Up,78342.159944,78334.160478,-7.999466
FLOOR_EUR,DISCOUNT/EUR/5/7Y,Up,78342.159944,78331.552257,-10.607686
FLOOR_EUR,DISCOUNT/EUR/6/10Y,Up,78342.159944,78332.670957,-9.488987
FLOOR_EUR,DISCOUNT/EUR/7/15Y,Up,78342.159944,78342.150758,-0.009186
FLOOR_EUR,INDEX/EUR-EURIBOR-6M/0/6M,Up,78342.159944,78343.246998,1.087054
FLOOR_EUR,INDEX/EUR-EURIBOR-6M/1/1Y,Up,78342.159944,78338.940094,-3.219849
FLOOR_EUR,INDEX/EUR-EURIBOR-6M/2/2Y,Up,78342.159944,78326.330608,-15.829336
FLOOR_EUR,INDEX/EUR-EURIBOR-6M/3/3Y,Up,78342.159944,78289.505542,-52.654402
FLOOR_EUR,INDEX/EUR-EURIBOR-6M/4/5Y,Up,78342.159944,78256.595307,-85.564637
FLOOR_EUR,INDEX/EUR-EURIBOR-6M/5/7Y,Up,78342.159944,78254.001210,-88.158734
FLOOR_EUR,INDEX/EUR-EURIBOR-6M/6/10Y,Up,78342.159944,77951.302460,-390.857483
FLOOR_EUR,INDEX/EUR-EURIBOR-6M/7/15Y,Up,78342.159944,78340.866827,-1.293117
FLOOR_USD,CAPFLOOR/USD/0/0.01/0/1Y,Up,29212.968476,29253.188553,40.220077
FLOOR_USD,CAPFLOOR/USD/0/0.01/1/2Y,Up,29212.968476,29261.091630,48.123154
FLOOR_USD,CAPFLOOR/USD/0/0.01/2/3Y,Up,29212.968476,29299.893828,86.925352
FLOOR_USD,CAPFLOOR/USD/0/0.01/3/5Y,Up,29212.968476,29346.391921,133.423445
FLOOR_USD,CAPFLOOR/USD/0/0.01/4/7Y,Up,29212.968476,29392.011170,179.042694
FLOOR_USD,CAPFLOOR/USD/0/0.01/5/10Y,Up,29212.968476,29316.043197,103.074721
FLOOR_USD,DISCOUNT/USD/0/6M,Up,29212.968476,29212.923656,-0.044820
FLOOR_USD,DISCOUNT/USD/1/1Y,Up,29212.968476,29212.823153,-0.145323
FLOOR_USD,DISCOUNT/USD/2/2Y,Up,29212.968476,29212.479273,-0.489203
FLOOR_USD,DISCOUNT/USD/3/3Y,Up,29212.968476,29211.664044,-1.304431
FLOOR_USD,DISCOUNT/USD/4/5Y,Up,29212.968476,29209.464130,-3.504345
FLOOR_USD,DISCOUNT/USD/5/7Y,Up,29212.968476,29207.375482,-5.592993
FLOOR_USD,DISCOUNT/USD/6/10Y,Up,29212.968476,29208.094025,-4.874450
FLOOR_USD,DISCOUNT/USD/7/15Y,Up,29212.968476,29212.966019,-0.002457
FLOOR_USD,FXSPOT/USDEUR,Up,29212.968476,29505.098161,292.129685
