#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
24,0.884623,1.233903,-0.003370,0.008561,0.008641,2377926.718375,2636974.951896,2636072.185157,2637821.780433,625477.762743,3321907.110366
25,0.884913,1.271011,0.000741,0.005912,0.003026,2724588.920942,2636964.396694,2636072.185157,2637821.780433,-77941.080642,3321907.110366
26,0.885132,1.198957,-0.002308,0.005755,0.008447,2728202.376543,2636956.404626,2636072.185157,2637821.780433,-877144.446257,3321907.110366
27,0.885204,1.200504,-0.002160,0.004858,0.006781,2775430.286511,2636953.752635,2636072.185157,2637821.780433,2173249.909588,3321907.110366
28,0.885504,1.195414,-0.000236,0.003908,0.000112,2931356.616750,2636942.804525,2636072.185157,2637821.780433,460609.280578,3321907.110366
29,0.887152,1.274431,-0.000756,0.011362,0.007234,2258630.000027,2636882.729837,2636072.185157,2637821.780433,7732.302588,3321907.110366
30,0.887208,1.241318,-0.000031,0.007581,0.007920,2662737.561624,2636880.691678,2636072.185157,2637821.780433,384693.100633,3321907.110366
31,0.890957,1.203477,0.002667,0.008906,0.005273,2836071.619860,2636744.191641,2636072.185157,2637821.780433,397853.233349,3321907.110366
32,0.893336,1.214669,0.001663,0.006615,0.007567,2866382.641477,2636657.737167,2636072.185157,2637821.780433,402289.143055,3321907.110366
33,0.893609,1.284089,-0.000588,0.007445,0.001993,2419793.304718,2636647.804741,2636072.185157,2637821.780433,-924805.314290,3321907.110366
34,0.895740,1.204162,-0.003453,0.006227,0.004781,2495868.307679,2636570.469147,2636072.185157,2637821.780433,-20619.922218,3321907.110366
35,0.895916,1.186382,0.000104,0.008979,0.004518,2648355.745928,2636564.072747,2636072.185157,2637821.780433,1306306.351680,3321907.110366
36,0.897440,1.263986,0.001194,0.004960,0.009534,2791668.743508,2636508.834392,2636072.185157,2637821.780433,-755807.050849,3321907.110366
37,0.898580,1.209094,-0.000717,0.006566,0.004377,2652637.204998,2636467.526439,2636072.185157,2637821.780433,-234188.786961,3321907.110366
38,0.899837,1.263889,-0.002169,0.008348,0.004959,2256645.381353,2636422.021564,2636072.185157,2637821.780433,-1314979.043729,3321907.110366
39,0.900058,1.217183,-0.001897,0.006124,0.006691,2573338.829433,2636414.012782,2636072.185157,2637821.780433,976583.465741,3321907.110366
40,0.900599,1.275634,0.000863,0.007851,0.010292,2546321.439644,2636394.454445,2636072.185157,2637821.780433,-669354.944251,3321907.110366
41,0.900921,1.189654,-0.001666,0.009988,0.010333,2442451.516238,2636382.814651,2636072.185157,2637821.780433,-440206.219499,3321907.110366
42,0.901441,1.275980,-0.001350,0.008909,0.007413,2260087.878733,2636363.997391,2636072.185157,2637821.780433,3321772.415004,3321907.110366
43,0.902718,1.258797,-0.000094,0.005790,0.006694,2603768.858763,2636317.835320,2636072.185157,2637821.780433,1198493.116792,3321907.110366
44,0.905697,1.199072,0.003392,0.008326,0.006529,2844079.225978,2636210.292436,2636072.185157,2637821.780433,-451833.522240,3321907.110366
45,0.906270,1.240228,-0.004161,0.011251,0.010624,1914291.690113,2636189.636675,2636072.185157,2637821.780433,-509416.113345,3321907.110366
46,0.911023,1.252570,0.005500,0.006766,0.008209,2926021.490349,2636018.433991,2636072.185157,2637821.780433,1712370.656226,3321907.110366
47,0.914193,1.215874,0.001794,0.010526,0.009733,2512627.629992,2635904.516515,2636072.185157,2637821.780433,-234045.801450,3321907.110366
48,0.915384,1.256245,-0.001278,0.006414,0.006967,2383704.417570,2635861.787996,2636072.185157,2637821.780433,-545931.655079,3321907.110366
49,0.922473,1.216787,0.000023,0.009071,0.006433,2371539.088013,2635607.934972,2636072.185157,2637821.780433,1328117.803916,3321907.110366
