#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
33,0.893606,1.284085,-0.000588,0.007445,0.001993,2419793.147927,2636649.375994,2636074.222417,2637823.368470,-924782.582988,3321917.030757
34,0.895737,1.204158,-0.003453,0.006227,0.004781,2495866.023431,2636572.039685,2636074.222417,2637823.368470,-20612.416324,3321917.030757
35,0.895914,1.186379,0.000104,0.008979,0.004518,2648355.556588,2636565.643227,2636074.222417,2637823.368470,1306315.725194,3321917.030757
36,0.897437,1.263982,0.001194,0.004960,0.009534,2791673.737099,2636510.404361,2636074.222417,2637823.368470,-755788.683914,3321917.030757
37,0.898577,1.209090,-0.000717,0.006566,0.004377,2652637.228491,2636469.096027,2636074.222417,2637823.368470,-234185.654682,3321917.030757
38,0.899834,1.263885,-0.002169,0.008348,0.004959,2256643.326233,2636423.590731,2636074.222417,2637823.368470,-1314971.657872,3321917.030757
39,0.900056,1.217179,-0.001897,0.006124,0.006691,2573338.712208,2636415.581875,2636074.222417,2637823.368470,976601.870560,3321917.030757
40,0.900596,1.275630,0.000863,0.007851,0.010292,2546325.207159,2636396.023358,2636074.222417,2637823.368470,-669344.738004,3321917.030757
41,0.900918,1.189651,-0.001666,0.009988,0.010333,2442450.842333,2636384.383457,2636074.222417,2637823.368470,-440198.041636,3321917.030757
42,0.901438,1.275976,-0.001350,0.008909,0.007413,2260087.523444,2636365.566023,2636074.222417,2637823.368470,3321782.334992,3321917.030757
43,0.902715,1.258793,-0.000094,0.005790,0.006694,2603770.810515,2636319.403527,2636074.222417,2637823.368470,1198514.988904,3321917.030757
44,0.905694,1.199069,0.003392,0.008326,0.006529,2844082.351056,2636211.859651,2636074.222417,2637823.368470,-451837.025014,3321917.030757
45,0.906267,1.240224,-0.004161,0.011251,0.010624,1914286.535541,2636191.203699,2636074.222417,2637823.368470,-509425.309204,3321917.030757
46,0.911020,1.252566,0.005500,0.006766,0.008209,2926027.625550,2636019.999440,2636074.222417,2637823.368470,1712381.057675,3321917.030757
47,0.914191,1.215870,0.001794,0.010526,0.009733,2512628.967167,2635906.080916,2636074.222417,2637823.368470,-234067.445729,3321917.030757
48,0.915381,1.256241,-0.001278,0.006414,0.006967,2383703.647705,2635863.352004,2636074.222417,2637823.368470,-545936.535944,3321917.030757
49,0.922470,1.216783,0.000023,0.009071,0.006433,2371536.993607,2635609.496650,2636074.222417,2637823.368470,1328109.818357,3321917.030757
