#Portfolio,RiskClass,RiskType,PLDate1,PLDate2,PLAmount
All,All,DeltaGamma,2019-10-01,2019-10-16,-290911.223098
All,All,DeltaGamma,2019-10-02,2019-10-17,-369778.994850
All,All,DeltaGamma,2019-10-03,2019-10-18,-481878.831891
All,All,DeltaGamma,2019-10-04,2019-10-21,-405504.182651
All,All,DeltaGamma,2019-10-07,2019-10-22,-388458.709327
All,All,DeltaGamma,2019-10-08,2019-10-23,-445492.287204
All,All,DeltaGamma,2019-10-09,2019-10-24,-327728.391330
All,All,DeltaGamma,2019-10-10,2019-10-25,-148342.810638
All,All,DeltaGamma,2019-10-11,2019-10-28,-135080.596619
All,All,DeltaGamma,2019-10-15,2019-10-29,-211088.269537
All,All,DeltaGamma,2019-10-16,2019-10-30,-196572.793430
All,All,DeltaGamma,2019-10-17,2019-10-31,-65306.744979
All,All,DeltaGamma,2019-10-18,2019-11-01,17820.042681
All,All,DeltaGamma,2019-10-21,2019-11-04,59380.677268
All,All,DeltaGamma,2019-10-22,2019-11-05,139054.197353
All,All,DeltaGamma,2019-10-23,2019-11-06,172193.158084
All,All,DeltaGamma,2019-10-24,2019-11-07,134088.930568
All,All,DeltaGamma,2019-10-25,2019-11-08,153697.655257
All,All,DeltaGamma,2019-10-28,2019-11-12,234068.153453
All,All,DeltaGamma,2019-10-29,2019-11-13,271225.823239
All,All,DeltaGamma,2019-10-30,2019-11-14,334997.053418
All,All,DeltaGamma,2019-10-31,2019-11-15,258249.026038
All,All,DeltaGamma,2019-11-01,2019-11-18,248321.801091
All,All,DeltaGamma,2019-11-04,2019-11-19,129545.756819
All,All,DeltaGamma,2019-11-05,2019-11-20,11519.748649
All,All,DeltaGamma,2019-11-06,2019-11-21,41277.230845
All,All,DeltaGamma,2019-11-07,2019-11-22,92183.623292
All,All,DeltaGamma,2019-11-08,2019-11-25,33640.333232
All,All,DeltaGamma,2019-11-12,2019-11-26,9075.214346
All,All,DeltaGamma,2019-11-13,2019-11-27,57794.022110
All,All,DeltaGamma,2019-11-14,2019-11-29,18638.255182
All,All,DeltaGamma,2019-11-15,2019-12-02,-73375.034363
All,All,DeltaGamma,2019-11-18,2019-12-03,-30345.033087
All,All,DeltaGamma,2019-11-19,2019-12-04,-4419.876200
All,All,DeltaGamma,2019-11-20,2019-12-05,-81487.471647
All,All,DeltaGamma,2019-11-21,2019-12-06,-1928.397636
All,All,DeltaGamma,2019-11-22,2019-12-09,-119226.568917
All,All,DeltaGamma,2019-11-25,2019-12-10,-224907.309299
All,All,DeltaGamma,2019-11-26,2019-12-11,-328179.025727
All,All,DeltaGamma,2019-11-27,2019-12-12,-368136.498516
All,All,DeltaGamma,2019-11-29,2019-12-13,-268080.986252
All,All,DeltaGamma,2019-12-02,2019-12-16,-153788.769987
All,All,DeltaGamma,2019-12-03,2019-12-17,-164306.390257
All,All,DeltaGamma,2019-12-04,2019-12-18,-73138.618960
All,All,DeltaGamma,2019-12-05,2019-12-19,-36364.463581
