#RiskFactor1,RiskFactor2,Correlation
"DiscountCurve/EUR/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.119963
"DiscountCurve/EUR/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.140207
"DiscountCurve/EUR/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.045174
"DiscountCurve/EUR/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.072497
"DiscountCurve/EUR/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.007198
"DiscountCurve/EUR/7","OptionletVolatility/SEK-STIBOR-3M/63",0.140533
"DiscountCurve/EUR/7","OptionletVolatility/SEK-STIBOR-3M/64",0.132744
"DiscountCurve/EUR/7","OptionletVolatility/SEK-STIBOR-3M/65",0.116332
"DiscountCurve/EUR/7","OptionletVolatility/SEK-STIBOR-3M/66",0.073862
"DiscountCurve/EUR/7","OptionletVolatility/SEK-STIBOR-3M/67",0.025344
"DiscountCurve/EUR/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.003518
"DiscountCurve/EUR/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.014917
"DiscountCurve/EUR/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.021520
"DiscountCurve/EUR/7","OptionletVolatility/SEK-STIBOR-3M/71",-0.024645
"DiscountCurve/EUR/7","FXSpot/DKKEUR/0",-0.207872
"DiscountCurve/EUR/7","FXSpot/JPYEUR/0",-0.639560
"DiscountCurve/EUR/7","FXSpot/NOKEUR/0",-0.012767
"DiscountCurve/EUR/7","FXSpot/SEKEUR/0",0.251078
"DiscountCurve/EUR/7","FXSpot/TWDEUR/0",-0.252015
"DiscountCurve/EUR/7","FXSpot/USDEUR/0",-0.370198
"DiscountCurve/EUR/7","FXVolatility/EURUSD/7",-0.333617
"DiscountCurve/EUR/7","FXVolatility/NOKSEK/7",-0.128061
"DiscountCurve/EUR/7","FXVolatility/USDJPY/7",-0.100409
"DiscountCurve/EUR/7","EquitySpot/RIC:.SPX/0",0.220908
"DiscountCurve/EUR/7","EquitySpot/RIC:FISV.OQ/0",0.012322
"DiscountCurve/EUR/7","EquitySpot/RIC:KSS.N/0",0.184560
"DiscountCurve/EUR/7","EquitySpot/RIC:LHAG.DE/0",0.267519
"DiscountCurve/EUR/7","EquityVolatility/RIC:.SPX/7",-0.167076
"DiscountCurve/EUR/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.152171
"DiscountCurve/EUR/7","ZeroInflationCurve/EUHICPXT/4",0.441919
"DiscountCurve/JPY/7","DiscountCurve/NOK/7",0.360801
"DiscountCurve/JPY/7","DiscountCurve/SEK/7",0.444931
"DiscountCurve/JPY/7","DiscountCurve/TWD/7",0.212011
"DiscountCurve/JPY/7","DiscountCurve/USD/7",0.393048
"DiscountCurve/JPY/7","IndexCurve/DKK-DKKOIS/7",0.397743
"DiscountCurve/JPY/7","IndexCurve/EUR-EONIA/7",0.392772
"DiscountCurve/JPY/7","IndexCurve/EUR-EURIBOR-3M/7",0.370089
"DiscountCurve/JPY/7","IndexCurve/EUR-EURIBOR-6M/7",0.372008
"DiscountCurve/JPY/7","IndexCurve/SEK-STIBOR-3M/7",0.396522
"DiscountCurve/JPY/7","IndexCurve/USD-FedFunds/7",0.352425
"DiscountCurve/JPY/7","IndexCurve/USD-LIBOR-3M/7",0.323216
