#Key,Factor,BaseValue,ShiftSize
IndexCurve/EUR-EURIBOR-3M/15,IndexCurve/EUR-EURIBOR-3M/15/30Y,0.01108155,0.00010000
IndexCurve/EUR-EURIBOR-6M/0,IndexCurve/EUR-EURIBOR-6M/0/2W,0.00024940,0.00010000
IndexCurve/EUR-EURIBOR-6M/1,IndexCurve/EUR-EURIBOR-6M/1/1M,0.00024940,0.00010000
IndexCurve/EUR-EURIBOR-6M/2,IndexCurve/EUR-EURIBOR-6M/2/3M,0.00024940,0.00010000
IndexCurve/EUR-EURIBOR-6M/3,IndexCurve/EUR-EURIBOR-6M/3/6M,0.00024940,0.00010000
IndexCurve/EUR-EURIBOR-6M/4,IndexCurve/EUR-EURIBOR-6M/4/9M,-0.00006550,0.00010000
IndexCurve/EUR-EURIBOR-6M/5,IndexCurve/EUR-EURIBOR-6M/5/1Y,-0.00022380,0.00010000
IndexCurve/EUR-EURIBOR-6M/6,IndexCurve/EUR-EURIBOR-6M/6/2Y,-0.00046134,0.00010000
IndexCurve/EUR-EURIBOR-6M/7,IndexCurve/EUR-EURIBOR-6M/7/3Y,-0.00015512,0.00010000
IndexCurve/EUR-EURIBOR-6M/8,IndexCurve/EUR-EURIBOR-6M/8/4Y,0.00062548,0.00010000
IndexCurve/EUR-EURIBOR-6M/9,IndexCurve/EUR-EURIBOR-6M/9/5Y,0.00151250,0.00010000
IndexCurve/EUR-EURIBOR-6M/10,IndexCurve/EUR-EURIBOR-6M/10/7Y,0.00367877,0.00010000
IndexCurve/EUR-EURIBOR-6M/11,IndexCurve/EUR-EURIBOR-6M/11/10Y,0.00697809,0.00010000
IndexCurve/EUR-EURIBOR-6M/12,IndexCurve/EUR-EURIBOR-6M/12/15Y,0.01010247,0.00010000
IndexCurve/EUR-EURIBOR-6M/13,IndexCurve/EUR-EURIBOR-6M/13/20Y,0.01145083,0.00010000
IndexCurve/EUR-EURIBOR-6M/14,IndexCurve/EUR-EURIBOR-6M/14/25Y,0.01179700,0.00010000
IndexCurve/EUR-EURIBOR-6M/15,IndexCurve/EUR-EURIBOR-6M/15/30Y,0.01169063,0.00010000
