#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,InitialMargin,AverageFLOW,SimpleDIM,NettingSet,Time
62,2018-07-06,14,2175548.306455,2169476.604194,0.000000,2202043.928171,CPTY_A,2.413961
63,2018-07-20,14,2184122.663327,2184162.299387,0.000000,2143877.628127,CPTY_A,2.452317
64,2018-08-03,14,2257756.771129,2257827.585853,0.000000,2313655.537275,CPTY_A,2.490673
65,2018-08-17,14,2208531.146749,2206165.052487,0.000000,2285572.798588,CPTY_A,2.529029
66,2018-08-31,14,2320191.674186,2293132.632802,0.000000,2376462.986923,CPTY_A,2.567385
67,2018-09-14,14,2114863.687415,2112980.672471,0.000000,2285680.087879,CPTY_A,2.605741
68,2018-09-28,14,2137042.991476,2124603.095247,0.000000,2257437.654279,CPTY_A,2.644098
69,2018-10-12,14,2114055.491560,2114133.927740,0.000000,2204562.657396,CPTY_A,2.682454
70,2018-10-26,14,2073918.922002,2060775.626886,0.000000,2021940.782899,CPTY_A,2.720810
71,2018-11-09,14,2119023.005069,2104317.939488,0.000000,2313824.339932,CPTY_A,2.759166
72,2018-11-23,14,2079656.820418,2078690.803765,0.000000,2079103.107925,CPTY_A,2.797522
73,2018-12-07,14,2062948.872635,2063416.439955,0.000000,1991283.708037,CPTY_A,2.835878
74,2018-12-21,14,2123803.633531,2123227.368790,0.000000,2029862.289279,CPTY_A,2.874235
75,2019-01-04,14,2157894.178473,2156134.219500,0.000000,2247374.956154,CPTY_A,2.912591
76,2019-01-18,14,2096895.295723,2098120.085839,0.000000,2190150.002632,CPTY_A,2.950947
77,2019-02-01,14,2087095.835311,2085480.909827,0.000000,2065930.588934,CPTY_A,2.989303
78,2019-02-15,14,2163777.713598,2159895.990643,0.000000,2235172.737870,CPTY_A,3.027659
79,2019-03-01,14,2010917.650515,2009286.236384,0.000000,1952976.000888,CPTY_A,3.066015
80,2019-03-15,14,1981860.729295,1978099.189220,0.000000,2034414.179742,CPTY_A,3.104372
81,2019-03-29,14,1990137.504045,1982211.484867,0.000000,1850721.080341,CPTY_A,3.142728
82,2019-04-12,14,2002233.037650,1997911.087950,0.000000,2031626.401735,CPTY_A,3.181084
83,2019-04-26,14,2051147.917718,2049151.482987,0.000000,2202779.329328,CPTY_A,3.219440
84,2019-05-10,14,1990271.064605,1981975.409255,0.000000,1994929.793551,CPTY_A,3.257796
85,2019-05-24,14,1972772.564042,1970296.179068,0.000000,2055878.056709,CPTY_A,3.296152
86,2019-06-07,14,1999740.278133,1982568.578871,0.000000,2098679.115823,CPTY_A,3.334509
87,2019-06-21,14,1986007.769781,1962845.073129,0.000000,1993516.965915,CPTY_A,3.372865
88,2019-07-05,14,1962609.304445,1951080.288715,0.000000,2185971.977230,CPTY_A,3.411221
89,2019-07-19,14,1985261.547266,1975664.162131,0.000000,1915710.994015,CPTY_A,3.449577
90,2019-08-02,14,1908280.070985,1905251.378386,0.000000,1919088.827322,CPTY_A,3.487933
91,2019-08-16,14,1939736.292197,1924141.907577,0.000000,1989958.418929,CPTY_A,3.526289
92,2019-08-30,14,1914753.564722,1901472.777210,0.000000,1871385.446344,CPTY_A,3.564646
93,2019-09-13,14,1874168.999839,1871655.374491,0.000000,1982099.841797,CPTY_A,3.603002
94,2019-09-27,14,1834833.063661,1831744.627881,0.000000,1966362.673120,CPTY_A,3.641358
95,2019-10-11,14,1832812.550891,1815956.304443,0.000000,1897937.534608,CPTY_A,3.679714
96,2019-10-25,14,1826363.368372,1815894.375993,0.000000,1925018.900173,CPTY_A,3.718070
97,2019-11-08,14,1844173.376664,1839274.538474,0.000000,1928825.059560,CPTY_A,3.756426
98,2019-11-22,14,1805086.140030,1794815.124499,0.000000,1813917.679645,CPTY_A,3.794783
99,2019-12-06,14,1815918.390678,1803931.767515,0.000000,1856387.940952,CPTY_A,3.833139
100,2019-12-20,14,1814232.302808,1794162.819529,0.000000,1784842.489580,CPTY_A,3.871495
101,2020-01-03,14,1834319.614764,1826522.719951,0.000000,1982781.393686,CPTY_A,3.909836
102,2020-01-17,14,1761797.422230,1754763.211307,0.000000,1790692.876177,CPTY_A,3.948087
103,2020-01-31,14,1781578.325509,1767414.850163,0.000000,1814592.860118,CPTY_A,3.986339
104,2020-02-14,14,1829316.179511,1800176.847363,0.000000,1844923.563360,CPTY_A,4.024590
105,2020-02-28,14,1670149.515527,1664231.731028,0.000000,1802895.834023,CPTY_A,4.062842
106,2020-03-13,14,1603705.712382,1575543.465697,0.000000,1628448.457353,CPTY_A,4.101093
107,2020-03-27,18,1583691.317077,1581723.199599,0.000000,1559459.717045,CPTY_A,4.139344
108,2020-04-14,10,1631303.737627,1604901.677759,0.000000,1719820.729341,CPTY_A,4.188525
109,2020-04-24,17,1630477.397136,1625678.480104,0.000000,1649642.938366,CPTY_A,4.215847
110,2020-05-11,11,1571134.963293,1563989.301198,0.000000,1512295.006102,CPTY_A,4.262295
111,2020-05-22,14,1714531.038036,1701433.761275,0.000000,1725554.004051,CPTY_A,4.292350
112,2020-06-05,14,1497819.902103,1489604.338268,0.000000,1358057.441869,CPTY_A,4.330601
113,2020-06-19,17,1567719.055407,1567001.932568,0.000000,1653129.861903,CPTY_A,4.368852
114,2020-07-06,11,1517303.751390,1514265.687050,0.000000,1580365.352038,CPTY_A,4.415301
115,2020-07-17,14,1613718.667070,1594448.357704,0.000000,1657672.558012,CPTY_A,4.445355
116,2020-07-31,14,1559103.589723,1552122.605529,0.000000,1459717.805742,CPTY_A,4.483607
