#Date,EPE,ENE
2023-10-06,1332368.2500,658288.4646
2023-10-20,1336920.6984,662840.9129
2023-11-03,1233952.4148,683284.4553
2023-11-17,1247046.4029,696378.4434
2023-12-01,1251688.6055,701020.6459
2023-12-15,1260759.4305,710091.4709
2023-12-29,1259166.0709,708498.1113
2024-01-12,1263464.9937,712797.0342
2024-01-26,1261330.5513,710662.5917
2024-02-09,1256514.0442,705846.0846
2024-02-23,1261232.1304,710564.1708
2024-03-08,1258954.4186,708286.4590
2024-03-22,1272516.1796,721848.2201
2024-04-05,1276709.2858,726041.3263
2024-04-19,1282648.5316,731980.5720
2024-05-03,1272098.7907,650368.2873
2024-05-17,1284335.2698,662604.7664
2024-05-31,1279231.2104,657500.7070
2024-06-14,1302376.3034,680645.8000
2024-06-28,1300862.7247,679132.2213
2024-07-12,1305492.2318,683761.7284
2024-07-26,1285376.2352,663645.7318
2024-08-09,1292765.9601,671035.4567
2024-08-23,1297475.7922,675745.2888
2024-09-06,1305506.6453,683776.1419
2024-09-20,1316299.7057,694569.2023
2024-10-04,1322760.2897,701029.7863
2024-10-18,1326820.8731,705090.3697
2024-11-01,1216257.9577,717046.7146
2024-11-15,1211936.9071,712725.6640
2024-11-29,1220778.3494,721567.1063
2024-12-13,1212927.6999,713716.4568
2024-12-27,1220657.1942,721445.9511
2025-01-10,1220150.4508,720939.2077
2025-01-24,1206982.2133,707770.9701
2025-02-07,1213682.4019,714471.1588
2025-02-21,1198870.7863,699659.5431
2025-03-07,1205060.5472,705849.3041
2025-03-21,1204105.0720,704893.8289
2025-04-04,1200397.6963,701186.4532
2025-04-22,1211279.6177,712068.3746
2025-05-02,1193753.0529,625367.2263
2025-05-16,1200911.1961,632525.3695
2025-05-30,1202167.5826,633781.7560
2025-06-13,1198306.0107,629920.1841
2025-06-27,1209412.0993,641026.2727
2025-07-11,1201113.6877,632727.8611
2025-07-25,1186430.2777,618044.4511
2025-08-08,1193739.1727,625353.3461
2025-08-22,1212046.1345,643660.3079
2025-09-05,1207604.3290,639218.5024
2025-09-19,1213975.6083,645589.7818
2025-10-03,1216888.9796,648503.1530
2025-10-17,1214844.6073,646458.7807
2025-10-31,1096939.8097,652937.6712
2025-11-14,1100300.6069,656298.4684
2025-11-28,1091078.4964,647076.3579
2025-12-12,1086566.2766,642564.1381
2025-12-29,1099219.6877,655217.5492
2026-01-09,1100453.2387,656451.1002
2026-01-23,1083945.6187,639943.4802
2026-02-06,1100280.9015,656278.7630
2026-02-20,1089499.9687,645497.8302
2026-03-06,1099417.8615,655415.7230
2026-03-20,1096513.2164,652511.0779
2026-04-07,1103277.9129,659275.7744
2026-04-17,1114709.8782,670707.7397
2026-05-05,1118504.2213,611675.9340
2026-05-15,1117049.0809,610220.7935
2026-05-29,1116272.2568,609443.9694
2026-06-12,1108929.0654,602100.7780
2026-06-26,1108514.9617,601686.6743
2026-07-10,1105720.1181,598891.8307
2026-07-24,1101177.1325,594348.8451
2026-08-07,1100715.0260,593886.7386
2026-08-21,1121355.9763,614527.6889
2026-09-04,1119270.3114,612442.0240
2026-09-18,1110889.1126,604060.8252
2026-10-02,1112971.8990,606143.6116
2026-10-16,1100674.8575,593846.5701
2026-10-30,1009008.3594,624898.7115
2026-11-13,1010362.0518,626252.4039
2026-11-27,1005634.7303,621525.0824
2026-12-11,1008693.9049,624584.2571
2026-12-29,1014864.3655,630754.7176
2027-01-08,1013227.2771,629117.6292
2027-01-22,1003260.2386,619150.5907
2027-02-05,1009400.9942,625291.3464
2027-02-19,1024930.8810,640821.2331
2027-03-05,1031294.2593,647184.6114
2027-03-19,1029570.8660,645461.2182
2027-04-02,1031362.2799,647252.6320
2027-04-16,1045008.5202,660898.8723
2027-04-30,1044702.5984,596128.3253
2027-05-14,1043447.3134,594873.0403
2027-05-28,1037926.8888,589352.6157
2027-06-11,1038931.7082,590357.4351
2027-06-25,1041130.4735,592556.2004
2027-07-09,1045268.2692,596693.9961
2027-07-23,1046894.3616,598320.0885
