#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
eur_6m_up,Swap_USD,CPTY_A,46706.04,49539.76,22937.69,-6939.27,25983.19,-7832.34,28054.95,-8436.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,304743.71,304743.71
eonia_up,,CPTY_A,134009.46,1435454.88,-2058243.77,-414999.45,-2215448.68,-473109.34,-2317127.11,-511872.28,0.00,-530373.73,0.00,0.00,0.00,0.00,0.00,134009.46,1435454.88,None,0.00,0.00
eonia_up,BermSwp,CPTY_A,3119.68,98.55,-126.50,-9752.09,-164.39,-11013.76,-192.16,-11873.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,38881.58,38881.58
eonia_up,CC_SWAP_EUR_USD,CPTY_A,113991.47,1447070.78,-2077270.31,-357462.10,-2231432.61,-402438.22,-2330664.59,-431916.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
eonia_up,FX_CALL_OPTION,CPTY_A,9296.75,0.00,0.00,-30289.73,0.00,-32821.46,0.00,-34458.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,161390.21,161390.21
eonia_up,Swap_EUR,CPTY_A,29006.27,49217.49,-68413.18,-90226.60,-77740.35,-102403.88,-84104.46,-110688.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,155200.84,168508.10
eonia_up,Swap_USD,CPTY_A,46748.77,49513.21,-68946.87,-146222.94,-78104.65,-165042.10,-84334.75,-177780.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,308869.76,308869.76
no_shift,,CPTY_A,57474.63,2659538.40,1268459.37,-8194.03,1364428.77,-9638.19,1426366.04,-10626.76,0.00,-25242.55,0.00,0.00,0.00,0.00,0.00,57474.63,2659538.40,None,0.00,0.00
no_shift,BermSwp,CPTY_A,4326.29,140.76,60.05,-641.57,78.10,-725.50,91.34,-782.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52628.30,52694.35
no_shift,CC_SWAP_EUR_USD,CPTY_A,36954.02,2681835.38,1280045.36,-5446.33,1375087.45,-6197.01,1436225.77,-6692.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
no_shift,FX_CALL_OPTION,CPTY_A,16008.71,0.00,0.00,-2477.66,0.00,-2684.58,0.00,-2818.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,276951.21,276951.21
no_shift,Swap_EUR,CPTY_A,38584.37,65925.84,30400.08,-5678.17,34680.77,-6470.38,37609.83,-7010.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,185376.70,196720.00
no_shift,Swap_USD,CPTY_A,46695.67,49544.13,22939.86,-6937.74,25985.37,-7830.60,28057.11,-8434.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,304740.72,304740.72
