#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,FX_CALL_OPTION,2036-05-05,20.245902,0,0,0,0,0,0,278351,0.00,0.00
BASE,FX_CALL_OPTION,2036-08-05,20.497268,0,0,0,0,0,0,278351,0.00,0.00
BASE,FX_CALL_OPTION,2036-11-05,20.748634,0,0,0,0,0,0,278351,0.00,0.00
BASE,FX_CALL_OPTION,2037-02-05,21.000262,0,0,0,0,0,0,278351,0.00,0.00
BASE,FX_CALL_OPTION,2037-05-05,21.244098,0,0,0,0,0,0,278351,0.00,0.00
BASE,FX_CALL_OPTION,2037-08-05,21.496152,0,0,0,0,0,0,278351,0.00,0.00
BASE,FX_CALL_OPTION,2037-11-05,21.748207,0,0,0,0,0,0,278351,0.00,0.00
BASE,FX_CALL_OPTION,2038-02-05,22.000262,0,0,0,0,0,0,278351,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2016-02-05,0.000000,216065,0,0,0,216065,216065,216065,216064.75,216064.75
eur_6m_up,FX_CALL_OPTION,2016-05-05,0.245902,216262,0,0,0,268448,217344,217344,217343.78,217343.78
eur_6m_up,FX_CALL_OPTION,2016-08-05,0.497268,217195,0,0,0,283426,219392,219392,218379.10,218379.10
eur_6m_up,FX_CALL_OPTION,2016-11-07,0.754098,217492,0,0,0,302014,220828,220828,219213.04,219213.04
eur_6m_up,FX_CALL_OPTION,2017-02-06,1.003002,219321,0,0,0,323245,223793,223793,220349.67,220349.67
eur_6m_up,FX_CALL_OPTION,2017-05-05,1.244098,220149,0,0,0,318054,225736,225736,221393.59,221393.59
eur_6m_up,FX_CALL_OPTION,2017-08-07,1.501632,219763,0,0,0,340098,226512,226512,222271.45,222271.45
eur_6m_up,FX_CALL_OPTION,2017-11-06,1.750947,219718,0,0,0,332467,227599,227599,223029.98,223029.98
eur_6m_up,FX_CALL_OPTION,2018-02-05,2.000262,221149,0,0,0,363225,230223,230223,223926.48,223926.48
eur_6m_up,FX_CALL_OPTION,2018-05-07,2.249577,223982,0,0,0,342075,234341,234341,225080.69,225080.69
eur_6m_up,FX_CALL_OPTION,2018-08-06,2.498892,224267,0,0,0,368117,235816,235816,226151.75,226151.75
eur_6m_up,FX_CALL_OPTION,2018-11-05,2.748207,224088,0,0,0,383450,236811,236811,227118.71,227118.71
eur_6m_up,FX_CALL_OPTION,2019-02-05,3.000262,223207,0,0,0,404248,237075,237075,227955.18,227955.18
eur_6m_up,FX_CALL_OPTION,2019-05-06,3.246837,222591,0,0,0,397408,237595,237595,228687.25,228687.25
eur_6m_up,FX_CALL_OPTION,2019-08-05,3.496152,223965,0,0,0,378460,240261,240261,229512.55,229512.55
eur_6m_up,FX_CALL_OPTION,2019-11-05,3.748207,223911,0,0,0,436562,241422,241422,230313.41,230313.41
eur_6m_up,FX_CALL_OPTION,2020-02-05,4.000000,225913,0,0,0,450137,244815,244815,231226.27,231226.27
eur_6m_up,FX_CALL_OPTION,2020-05-05,4.245902,226592,0,0,0,446667,246770,246770,232126.46,232126.46
eur_6m_up,FX_CALL_OPTION,2020-08-05,4.497268,225568,0,0,0,488814,246900,246900,232952.22,232952.22
eur_6m_up,FX_CALL_OPTION,2020-11-05,4.748634,225637,0,0,0,497257,248230,248230,233760.92,233760.92
eur_6m_up,FX_CALL_OPTION,2021-02-05,5.000262,226172,0,0,0,521033,250080,250080,234582.15,234582.15
eur_6m_up,FX_CALL_OPTION,2021-05-05,5.244098,226721,0,0,0,511715,251917,251917,235388.19,235388.19
eur_6m_up,FX_CALL_OPTION,2021-08-05,5.496152,226288,0,0,0,527688,252712,252712,236182.65,236182.65
eur_6m_up,FX_CALL_OPTION,2021-11-05,5.748207,227818,0,0,0,517294,255711,255711,237038.95,237038.95
eur_6m_up,FX_CALL_OPTION,2022-02-07,6.005741,228055,0,0,0,496433,257303,257303,237907.91,237907.91
eur_6m_up,FX_CALL_OPTION,2022-05-05,6.244098,227735,0,0,0,478541,258176,258176,238681.59,238681.59
eur_6m_up,FX_CALL_OPTION,2022-08-05,6.496152,230536,0,0,0,489999,262676,262676,239612.59,239612.59
eur_6m_up,FX_CALL_OPTION,2022-11-07,6.753687,227276,0,0,0,488654,260304,262676,240401.61,240492.06
eur_6m_up,FX_CALL_OPTION,2023-02-06,7.003002,226216,0,0,0,496766,260390,262676,241113.23,241281.84
eur_6m_up,FX_CALL_OPTION,2023-05-05,7.244098,224725,0,0,0,511121,259929,262676,241739.45,241993.88
eur_6m_up,FX_CALL_OPTION,2023-08-07,7.501632,224706,0,0,0,503360,261254,262676,242409.39,242703.91
eur_6m_up,FX_CALL_OPTION,2023-11-06,7.750947,226742,0,0,0,509849,264944,264944,243134.24,243419.29
eur_6m_up,FX_CALL_OPTION,2024-02-05,8.000000,224801,0,0,0,499842,263994,264944,243783.62,244089.39
eur_6m_up,FX_CALL_OPTION,2024-05-06,8.248634,224190,0,0,0,473038,264597,264944,244411.00,244718.00
eur_6m_up,FX_CALL_OPTION,2024-08-05,8.497268,225122,0,0,0,476992,267030,267030,245072.85,245370.87
eur_6m_up,FX_CALL_OPTION,2024-11-05,8.748634,224669,0,0,0,493834,267845,267845,245727.14,246016.60
eur_6m_up,FX_CALL_OPTION,2025-02-05,9.000262,226348,0,0,0,479430,271215,271215,246439.73,246721.10
eur_6m_up,FX_CALL_OPTION,2025-05-05,9.244098,224427,0,0,0,491060,270233,271215,247067.34,247367.19
eur_6m_up,FX_CALL_OPTION,2025-08-05,9.496152,228256,0,0,0,497862,276238,276238,247841.60,248133.49
eur_6m_up,FX_CALL_OPTION,2025-11-05,9.748207,228812,0,0,0,489069,278315,278315,248629.54,248913.88
eur_6m_up,FX_CALL_OPTION,2026-02-05,10.000262,225247,0,0,0,508445,275369,278315,249303.50,249654.93
eur_6m_up,FX_CALL_OPTION,2026-05-05,10.244098,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2026-08-05,10.496152,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2026-11-05,10.748207,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2027-02-05,11.000262,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2027-05-05,11.244098,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2027-08-05,11.496152,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2027-11-05,11.748207,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2028-02-07,12.005464,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2028-05-05,12.245902,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2028-08-07,12.502732,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2028-11-06,12.751366,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2029-02-05,13.000262,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2029-05-07,13.249577,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2029-08-06,13.498892,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2029-11-05,13.748207,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2030-02-05,14.000262,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2030-05-06,14.246837,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2030-08-05,14.496152,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2030-11-05,14.748207,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2031-02-05,15.000262,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2031-05-05,15.244098,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2031-08-05,15.496152,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2031-11-05,15.748207,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2032-02-05,16.000000,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2032-05-05,16.245902,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2032-08-05,16.497268,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2032-11-05,16.748634,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2033-02-07,17.005741,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2033-05-05,17.244098,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2033-08-05,17.496152,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2033-11-07,17.753687,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2034-02-06,18.003002,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2034-05-05,18.244098,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2034-08-07,18.501632,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2034-11-06,18.750947,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2035-02-05,19.000262,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2035-05-07,19.249577,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2035-08-06,19.498892,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2035-11-05,19.748207,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2036-02-05,20.000000,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2036-05-05,20.245902,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2036-08-05,20.497268,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2036-11-05,20.748634,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2037-02-05,21.000262,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2037-05-05,21.244098,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2037-08-05,21.496152,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2037-11-05,21.748207,0,0,0,0,0,0,278315,0.00,0.00
eur_6m_up,FX_CALL_OPTION,2038-02-05,22.000262,0,0,0,0,0,0,278315,0.00,0.00
eonia_up,FX_CALL_OPTION,2016-02-05,0.000000,115140,0,0,0,115140,115140,115140,115140.12,115140.12
eonia_up,FX_CALL_OPTION,2016-05-05,0.245902,115570,0,0,0,153543,116722,116722,116721.73,116721.73
